City,State,Median Home Listing Price,30-year Fixed Mortgage Rate,Monthly Mortgage Payment,Median Household Income,Hours per Month to Afford a Home,Number of Periods,Present Value,
Toledo,Ohio,74900.00,3.61%,273.00,33687.00,16.9,360,59920.00,
Memphis,Tennessee,88500.00,3.59%,321.00,36445.00,18.4,360,70800.00,
Cleveland,Ohio,70000.00,3.61%,255.00,26150.00,20.3,360,56000.00,
Buffalo,New York,90000.00,3.60%,327.00,31918.00,21.4,360,72000.00,
Baltimore,Maryland,139000.00,3.58%,504.00,42241.00,24.9,360,111200.00,
Wichita,Kansas,153900.00,3.57%,558.00,45947.00,25.3,360,123120.00,
Fort Wayne,Indiana,149900.00,3.57%,543.00,43774.00,25.9,360,119920.00,
Milwaukee,Wisconsin,124800.00,3.57%,452.00,35958.00,26.2,360,99840.00,
Indianapolis,Indiana,145000.00,3.62%,529.00,41987.00,26.3,360,116000.00,
Columbus,Ohio,163840.00,3.61%,597.00,45659.00,27.3,360,131072.00,
El Paso,Texas,161660.00,3.56%,585.00,42772.00,28.5,360,129328.00,
Oklahoma City,Oklahoma,185000.00,3.56%,670.00,47779.00,29.2,360,148000.00,
Gilbert,Arizona,326532.00,3.60%,1188.00,82424.00,30.1,360,261226.00,
Winston–Salem,North Carolina,159900.00,3.56%,579.00,39882.00,30.3,360,127920.00,
Arlington,Texas,215000.00,3.57%,779.00,53326.00,30.5,360,172000.00,
Garland,Texas,209999.00,3.56%,760.00,51970.00,30.5,360,167999.00,
Corpus Christi,Texas,204900.00,3.56%,742.00,50658.00,30.6,360,163920.00,
Anchorage,Alaska,315000.00,3.69%,1158.00,78326.00,30.9,360,252000.00,
Jacksonville,Florida,191000.00,3.57%,692.00,46764.00,30.9,360,152800.00,
Tulsa,Oklahoma,175000.00,3.56%,633.00,42284.00,31.3,360,140000.00,
St. Louis,Missouri,148240.00,3.60%,539.00,35599.00,31.6,360,118592.00,
Saint Paul,Minnesota,205000.00,3.59%,745.00,48757.00,31.9,360,164000.00,
Kansas City,Missouri,195000.00,3.60%,709.00,45821.00,32.3,360,156000.00,
Virginia Beach,Virginia,285000.00,3.56%,1031.00,66634.00,32.3,360,228000.00,
Greensboro,North Carolina,179900.00,3.56%,651.00,41628.00,32.6,360,143920.00,
Lincoln,Nebraska,214950.00,3.59%,781.00,49840.00,32.7,360,171960.00,
North Las Vegas,Nevada,231500.00,3.60%,842.00,52511.00,33.5,360,185200.00,
Chandler,Arizona,323450.00,3.60%,1176.00,72695.00,33.8,360,258760.00,
Plano,Texas,374900.00,3.56%,1357.00,83793.00,33.8,360,299920.00,
Fort Worth,Texas,239000.00,3.56%,865.00,53214.00,33.9,360,191200.00,
Omaha,Nebraska,225000.00,3.59%,817.00,49896.00,34.2,360,180000.00,
Spokane,Washington,195000.00,3.58%,707.00,42386.00,34.8,360,156000.00,
Laredo,Texas,184900.00,3.56%,669.00,39711.00,35.2,360,147920.00,
Bakersfield,California,266612.00,3.55%,964.00,57095.00,35.2,360,213290.00,
Lubbock,Texas,210000.00,3.56%,760.00,44648.00,35.5,360,168000.00,
Philadelphia,Pennsylvania,180000.00,3.56%,651.00,38253.00,35.5,360,144000.00,
Albuquerque,New Mexico,219900.00,3.63%,803.00,47030.00,35.6,360,175920.00,
Norfolk,Virginia,210000.00,3.56%,760.00,44480.00,35.7,360,168000.00,
Chesapeake,Virginia,324900.00,3.56%,1176.00,68620.00,35.8,360,259920.00,
Pittsburgh,Pennsylvania,194900.00,3.56%,705.00,40715.00,36.2,360,155920.00,
Madison,Wisconsin,264900.00,3.57%,960.00,54896.00,36.5,360,211920.00,
Glendale,Arizona,234969.00,3.55%,849.00,46776.00,37.9,360,187975.00,
Mesa,Arizona,246900.00,3.60%,898.00,48809.00,38.4,360,197520.00,
Newark,New Jersey,169750.00,3.55%,614.00,33139.00,38.6,360,135800.00,
Charlotte,North Carolina,275000.00,3.56%,995.00,53637.00,38.7,360,220000.00,
Baton Rouge,Louisiana,205000.00,3.55%,741.00,39876.00,38.8,360,164000.00,
Tucson,Arizona,189900.00,3.60%,691.00,37149.00,38.8,360,151920.00,
San Antonio,Texas,241990.00,3.56%,876.00,46744.00,39.1,360,193592.00,
Minneapolis,Minnesota,269900.00,3.59%,980.00,51480.00,39.7,360,215920.00,
Henderson,Nevada,335000.00,3.60%,1218.00,63120.00,40.3,360,268000.00,
Durham,North Carolina,269000.00,3.56%,974.00,50420.00,40.3,360,215200.00,
St. Petersburg,Florida,245000.00,3.57%,888.00,45748.00,40.5,360,196000.00,
Cincinnati,Ohio,179900.00,3.61%,655.00,33604.00,40.7,360,143920.00,
Boise,Idaho,269900.00,3.60%,982.00,50323.00,40.7,360,215920.00,
Raleigh,North Carolina,300000.00,3.56%,1086.00,55398.00,40.9,360,240000.00,
Las Vegas,Nevada,274900.00,3.60%,1000.00,50202.00,41.6,360,219920.00,
Phoenix,Arizona,268450.00,3.60%,976.00,47326.00,43.1,360,214760.00,
Colorado Springs,Colorado,315000.00,3.54%,1137.00,54527.00,43.5,360,252000.00,
Sacramento,California,292900.00,3.55%,1059.00,50739.00,43.5,360,234320.00,
Richmond,Virginia,240000.00,3.56%,869.00,40758.00,44.5,360,192000.00,
Aurora,Colorado,320000.00,3.68%,1175.00,53011.00,46.3,360,256000.00,
Stockton,California,275000.00,3.55%,994.00,44797.00,46.3,360,220000.00,
Chicago,Illinois,299000.00,3.59%,1086.00,48522.00,46.7,360,239200.00,
Fresno,California,258950.00,3.55%,936.00,41531.00,47,360,207160.00,
Orlando,Florida,265000.00,3.57%,960.00,42318.00,47.4,360,212000.00,
Tampa,Florida,279995.00,3.57%,1015.00,44185.00,47.9,360,223996.00,
Houston,Texas,315000.00,3.56%,1140.00,46187.00,51.5,360,252000.00,
Atlanta,Georgia,329900.00,3.54%,1191.00,47527.00,52.3,360,263920.00,
Austin,Texas,399900.00,3.56%,1447.00,57689.00,52.4,360,319920.00,
Nashville,Tennessee,330000.00,3.59%,1199.00,47621.00,52.5,360,264000.00,
San Bernardino,California,265000.00,3.55%,958.00,37047.00,54,360,212000.00,
Riverside,California,409900.00,3.55%,1482.00,57196.00,54.1,360,327920.00,
Irving,Texas,375000.00,3.56%,1357.00,52154.00,54.3,360,300000.00,
Washington,District of Columbia,550000.00,3.60%,2000.00,70848.00,58.9,360,440000.00,
Jersey City,New Jersey,470000.00,3.55%,1699.00,59537.00,59.6,360,376000.00,
Chula Vista,California,515000.00,3.55%,1862.00,65185.00,59.6,360,412000.00,
Portland,Oregon,439900.00,3.59%,1598.00,55003.00,60.6,360,351920.00,
New Orleans,Louisiana,298000.00,3.55%,1077.00,36792.00,61.1,360,238400.00,
Scottsdale,Arizona,595000.00,3.60%,2164.00,73288.00,61.6,360,476000.00,
Reno,Nevada,394000.00,3.60%,1433.00,47012.00,63.6,360,315200.00,
Honolulu,Hawaii,629000.00,3.62%,2293.00,74460.00,64.3,360,503200.00,
Denver,Colorado,479000.00,3.55%,1731.00,53637.00,67.4,360,383200.00,
Fremont,California,949000.00,3.55%,3430.00,105355.00,68,360,759200.00,
Dallas,Texas,398500.00,3.56%,1442.00,43781.00,68.8,360,318800.00,
Anaheim,California,579445.00,3.57%,2100.00,60752.00,72.1,360,463556.00,
Seattle,Washington,679000.00,3.58%,2464.00,70594.00,72.8,360,543200.00,
Irvine,California,897304.00,3.55%,3244.00,92278.00,73.4,360,717843.00,
San Jose,California,825000.00,3.55%,2982.00,84647.00,73.5,360,660000.00,
Santa Ana,California,509990.00,3.55%,1843.00,52253.00,73.6,360,407992.00,
San Diego,California,675000.00,3.55%,2440.00,66116.00,77,360,540000.00,
Long Beach,California,545000.00,3.55%,1970.00,52783.00,77.9,360,436000.00,
Oakland,California,599000.00,3.55%,2165.00,54618.00,82.7,360,479200.00,
Boston,Massachusetts,699000.00,3.56%,2530.00,55777.00,94.7,360,559200.00,
San Francisco,California,1150000.00,3.55%,4157.00,81294.00,106.7,360,920000.00,
Miami,Florida,449000.00,3.57%,1627.00,31051.00,109.4,360,359200.00,
Los Angeles,California,748000.00,3.55%,2704.00,50205.00,112.4,360,598400.00,
New York,New York,798000.00,3.60%,2902.00,53373.00,113.5,360,638400.00,
