Title,Year,Console,Sales (Units),Gross (est.)
Super Mario Bros.,1985,All Consoles,65915000,3399300000
Super Mario Bros.,1985,NES,40240000,1700000000
Super Mario Bros.,1986,G&W,1260000,49300000
VS. Super Mario Bros. / VS. Mario's Adventure,1986,Arcade,25000,270000000
Super Mario All-Stars,1993,SNES,10550000,900000000
Super Mario Bros. DX,1999,GBC,5070000,150000000
Classic NES Series: Super Mario Bros.,2004,GBA,2270000,37000000
Super Mario Bros.,2006,Wii (VC),660000,3000000
Super Mario All-Stars: 25th Anniversary Edition,2010,Wii,2240000,70000000
NES Classic Edition,2016,NES,3600000,220000000
Super Mario Bros. 2,1986,All Consoles,37505456,2017000000
Super Mario Bros. 2 / The Lost Levels,1986,FDS,2650000,90000000
Super Mario Bros. 2 / Super Mario USA,1988,NES,7460000,400000000
Super Mario All-Stars,1993,SNES,10550000,900000000
Super Mario Bros. DX,1999,GBC,5070000,150000000
Super Mario Advance,2001,GBA,5570000,180000000
Famicom Mini Series: Super Mario Bros. 2,2004,GBA,365456,7000000
Super Mario All-Stars: 25th Anniversary Edition,2010,Wii,2240000,70000000
NES Classic Edition,2016,NES,3600000,220000000
Super Mario Bros. 3,1988,All Consoles,40820000,3115000000
Super Mario Bros. 3,1988,NES,18000000,1700000000
Super Mario Bros. 3,2007,Wii (VC),1000000,5000000
Super Mario Advance 4: Super Mario Bros. 3,2003,GBA,5430000,220000000
Super Mario All-Stars: 25th Anniversary Edition,2010,Wii,2240000,70000000
NES Classic Edition,2016,NES,3600000,220000000
Super Mario Land,1989,All Consoles,18371000,423000000
Super Mario Land,1989,GB,18140000,422000000
Super Mario Land,2011,3DS (VC),231000,1000000
Super Mario World,1990,All Consoles,31943000,2453000000
Super Mario World,1990,SNES,20610000,1700000000
Super Mario Advance 2: Super Mario World,2001,GBA,5690000,330000000
Super Mario World,2006,Wii (VC),363000,3000000
Super NES Classic Edition,2017,SNES,5280000,420000000
Super Mario Land 2,1992,All Consoles,11180000,480000000
Super Mario Land 2: 6 Golden Coins,1992,GB,11180000,480000000
Super Mario All-Stars,,All Consoles,12790000,900000000
Super Mario All-Stars,1993,SNES,10550000,830000000
Super Mario All-Stars: 25th Anniversary Edition,2010,Wii,2240000,70000000
Super Mario Land 3,1994,All Consoles,5190000,140000000
Wario Land: Super Mario Land 3,1994,GB,5190000,140000000
Super Mario World 2: Yoshi's Island,1995,All Consoles,6950000,510000000
Super Mario World 2: Yoshi's Island,1995,SNES,4120000,370000000
Super Mario Advance 3: Yoshi's Island,2002,GBA,2830000,140000000
Super Mario 64,1996,All Consoles,32310000,2233000000
Super Mario 64,1996,N64,11910000,1100000000
Super Mario 64 DS,2004,DS,11060000,590000000
Super Mario 64,2006,Wii (VC),270000,3000000
Super Mario 3D All-Stars,2020,Switch,9070000,540000000
Super Mario Sunshine,2002,All Consoles,15380000,900000000
Super Mario Sunshine,2002,GCN,6310000,360000000
Super Mario 3D All-Stars,2020,Switch,9070000,540000000
New Super Mario Bros.,2006,All Consoles,30800000,1800000000
New Super Mario Bros.,2006,DS,30800000,1800000000
Super Mario Galaxy,2007,All Consoles,24300621,1588000000
Super Mario Galaxy,2007,Wii,12800000,950000000
Super Mario 3D All-Stars,2020,Switch,9070000,540000000
Super Mario Galaxy,2025,Switch,2280000,91000000
Super Mario Galaxy + Super Mario Galaxy 2,2025,Switch,150621,7000000
New Super Mario Bros. Wii,2009,All Consoles,30320000,2300000000
New Super Mario Bros. Wii,2009,Wii,30320000,2300000000
Super Mario Galaxy 2,2010,All Consoles,9980621,674000000
Super Mario Galaxy 2,2010,Wii,7410000,570000000
Super Mario Galaxy 2,2025,Switch,2420000,97000000
Super Mario Galaxy + Super Mario Galaxy 2,2025,Switch,150621,7000000
Super Mario 3D Land,2011,All Consoles,12890000,610000000
Super Mario 3D Land,2011,3DS,12890000,610000000
New Super Mario Bros. 2,2012,All Consoles,13420000,510000000
New Super Mario Bros. 2,2012,3DS,13420000,510000000
New Super Mario Bros. U,2012,All Consoles,24620000,1590000000
New Super Mario Bros. U,2012,Wii U,5820000,490000000
New Super Mario Bros. U Deluxe,2019,Switch,18800000,1100000000
New Super Luigi U,2013,All Consoles,3070000,120000000
New Super Luigi U,2013,Wii U,3070000,120000000
Super Mario 3D World,2013,All Consoles,19360000,1330000000
Super Mario 3D World,2013,Wii U,5890000,520000000
Super Mario 3D World + Bowser's Fury,2021,Switch,13470000,810000000
Super Mario Maker,2015,All Consoles,7780000,390000000
Super Mario Maker,2015,Wii U,4020000,240000000
Super Mario Maker for Nintendo 3DS,2016,3DS,3760000,150000000
Super Mario Odyssey,2017,All Consoles,30270000,1800000000
Super Mario Odyssey,2017,Switch,30270000,1800000000
Super Mario Maker 2,2019,All Consoles,8420000,510000000
Super Mario Maker 2,2019,Switch,8420000,510000000
Super Mario Bros. Wonder,2023,All Consoles,17150000,1000000000
Super Mario Bros. Wonder,2023,Switch,17150000,1000000000
Super Mario Bros. Wonder + Meetup in Bellabel Park,2026,Switch 2,,
Total sales,,All Consoles,459665077,27325300000
